,sigma2,predicted_mean,lower_conf_mean
1001,5.525970772519631e-06,0.0021529017821407676,-0.03748467424868824
1002,2.878256799651164e-06,0.0026314564106050442,-0.00615393870794898
1005,8.121219763376773e-06,0.005340765277256495,-0.006473384484287662
1007,2.609220571471197e-06,0.0025371326802757148,-0.0043619661748939016
1008,1.551039002394353e-05,0.00012289912318074465,-0.013897816887063132
1010,1.0725449916188435e-05,0.002403796933801252,-0.009002346797670391
1011,5.654837439481524e-05,-7.63824717690913e-06,-0.025855248415005673
1013,3.3543947267072833e-06,0.004853440373427835,-0.002475272737510292
1020,4.8977682491074676e-06,0.00289866740225578,-0.005159991987064008
1026,7.332196439516567e-05,-1.2833637400441715e-05,-0.042658242889238904
1027,2.8172077330174915e-06,0.0030106885001941084,-0.006556654233552278
1028,4.737689920637945e-06,0.003372344233943662,-0.015805247071729447
1030,2.5290978351746234e-06,0.0013892275376611535,-0.009756013737903356
1033,4.479652360992199e-06,0.0026468188878986383,-0.006836688771488971
1034,7.668089719893126e-06,0.003990538317476752,-0.021099964069094382
1035,5.208234617748714e-06,0.002430207761012003,-0.006502026507270409
1036,5.167493162451516e-06,0.0016889069899372958,-0.006084028859633174
1038,6.4339128712411335e-06,0.002339352793473742,-0.007302842516551853
1040,4.6187679877329255e-06,0.001644186331722432,-0.017310155822483787
1050,1.604791639536533e-05,0.0024228406447906283,-0.013756479665256945
1053,9.485576955029233e-06,0.0066089215493069465,-0.007756510603316926
1054,1.1662081742998637e-05,0.0026372317767946263,-0.01347898548930485
1056,3.572000004640152e-06,0.0022095264337976105,-0.0053203735874163645
1060,4.548177962526219e-06,0.0024978611540255593,-0.023227349814667318
1062,3.6187049601385106e-06,0.000842092016990121,-0.012752487682217178
1068,9.3496951586947e-06,0.004217450248553465,-0.006189723840133536
1071,1.625406900814664e-05,0.001878055492766035,-0.030260831889274985
1072,8.478305579322982e-06,1.0684253021795322e-05,-0.014401329580709268
1073,3.73756888155498e-06,0.0027684861068807244,-0.006080665960723311
1075,3.752616062301731e-06,0.003837145712717364,-0.005446778589410836
1077,3.6784840977690003e-06,0.004693780777873151,-0.0058596625065694165
1081,8.914007784589183e-06,0.0047609753839033585,-0.008449425336208983
1082,1.1089780598565326e-05,0.0033192821468526475,-0.008583966144721901
1083,8.508006792943075e-06,0.004688183141651383,-0.006545473747429137
1085,4.299698183671525e-06,0.0017686020846687856,-0.005618470795165312
1089,3.5679809189358905e-06,0.004069027352384467,-0.009899992433521345
1092,1.5718879557506104e-05,0.004425323943627001,-0.009020242917034496
1095,3.383475960610157e-06,0.0023157939432577154,-0.004816892240344131
1096,8.856303783375357e-06,4.563022193254803e-05,-0.01293472380725887
1098,3.2086976004062425e-05,0.0039203022363588904,-0.03373789262235843
1104,1.1147470620868866e-05,0.0023016331363675665,-0.03923397617067196
1106,4.340518304692644e-06,0.0025037992792239366,-0.005192774988701939
1107,8.398031528507938e-06,0.0038093489828122918,-0.007304823057527336
