Region Name,Region Name (group),National Average,P2R,Zhvi
"Yuma, AZ",Other,11.44,12.18,"$134,200"
"Yuba City, CA",Other,11.44,14.9,"$249,400"
"Youngstown, OH",Other,11.44,8.86,"$85,400"
"York, PA",Other,11.44,10.55,"$163,600"
"Yakima, WA",Other,11.44,13.51,"$181,700"
"Worcester, MA",Other,11.44,12.54,"$243,900"
"Wooster, OH",Other,11.44,10.14,"$137,200"
"Winston-Salem, NC",Other,11.44,10.52,"$129,700"
"Winona, MN",Other,11.44,10.29,"$143,300"
"Winchester, VA",Other,11.44,12.93,"$208,900"
"Wilson, NC",Other,11.44,9.94,"$123,500"
"Wilmington, NC",Other,11.44,12.69,"$208,600"
"Willmar, MN",Other,11.44,11.31,"$163,000"
"Williamsport, PA",Other,11.44,12.04,"$147,100"
"Whitewater, WI",Other,11.44,11.37,"$185,500"
"West Plains, MO",Other,11.44,11.35,"$116,900"
"Wenatchee, WA",Other,11.44,13.95,"$274,500"
"Waycross, GA",Other,11.44,7.81,"$84,700"
"Watertown, NY",Other,11.44,9.16,"$140,400"
"Washington, IN",Other,11.44,9.78,"$106,900"
"Washington, DC",Other,11.44,15.02,"$382,400"
"Washington Court House, OH",Other,11.44,9.54,"$111,900"
"Warsaw, IN",Other,11.44,10.35,"$140,700"
"Warrensburg, MO",Other,11.44,10.72,"$143,400"
"Warner Robins, GA",Other,11.44,9.47,"$110,500"
"Walla Walla, WA",Other,11.44,14.01,"$205,900"
"Wabash, IN",Other,11.44,8.13,"$85,700"
"Visalia, CA",Other,11.44,13.09,"$183,800"
"Virginia Beach, VA",Other,11.44,12.75,"$219,900"
"Vineyard Haven, MA",Other,11.44,19.44,"$724,500"
"Vineland, NJ",Other,11.44,9.3,"$137,300"
"Vincennes, IN",Other,11.44,8.01,"$73,600"
"Vidalia, GA",Other,11.44,8.94,"$108,200"
"Vicksburg, MS",Other,11.44,9.1,"$116,500"
"Vero Beach, FL",Other,11.44,10.08,"$187,700"
"Ventura, CA",Other,11.44,17.36,"$550,500"
"Vallejo, CA",Other,11.44,15.87,"$383,500"
"Valdosta, GA",Other,11.44,9.91,"$118,500"
"Uvalde, TX",Other,11.44,8.28,"$109,600"
"Utica, NY",Other,11.44,7.58,"$114,600"
"Urban Honolulu, HI",Other,11.44,21.18,"$654,000"
"Union City, TN",Other,11.44,7.17,"$67,300"
"Ukiah, CA",Other,11.44,16.67,"$367,100"
"Twin Falls, ID",Other,11.44,11.46,"$149,400"
"Tuscaloosa, AL",Other,11.44,8.82,"$125,600"
"Tupelo, MS",Other,11.44,8.72,"$112,400"
"Tulsa, OK",Other,11.44,10.13,"$126,500"
"Tullahoma, TN",Other,11.44,9.97,"$130,900"
"Tucson, AZ",Other,11.44,13.13,"$179,100"
